sno,state_name,active,positive,cured,death,new_active,new_positive,new_cured,new_death,death_reconsille,total,state_code,actualdeath24hrs
1,Andaman and Nicobar Islands,0,10766,10637,129,0,10766,10637,129,,,35,0
2,Andhra Pradesh,0,2340672,2325939,14733,0,2340672,2325939,14733,,,28,0
3,Arunachal Pradesh,2,67046,66748,296,2,67046,66748,296,,,12,0
4,Assam,7,746150,738108,8035,7,746150,738108,8035,,,18,0
5,Bihar,4,855260,842942,12314,4,855260,842942,12314,,,10,0
6,Chandigarh,1,100690,99504,1185,1,100690,99504,1185,,,04,0
7,Chhattisgarh,5,1187684,1173489,14190,6,1187685,1173489,14190,,,22,0
8,Dadra and Nagar Haveli and Daman and Diu,0,11592,11588,4,0,11592,11588,4,,,26,0
9,Delhi,3,2040775,2014107,26665,4,2040776,2014107,26665,,,07,0
10,Goa*,5,263306,259287,4014,5,263307,259288,4014,,,30,0
11,Gujarat,8,1291353,1280266,11079,8,1291353,1280266,11079,,,24,0
12,Haryana,27,1078875,1068094,10754,28,1078877,1068095,10754,,,06,0
13,Himachal Pradesh,13,322829,318576,4240,13,322829,318576,4240,,,02,0
14,Jammu and Kashmir,6,482017,477219,4792,0,482017,477225,4792,,,01,0
15,Jharkhand,0,443824,438490,5334,0,443824,438490,5334,,,20,0
16,Karnataka,20,4088635,4048258,40357,22,4088638,4048259,40357,,,29,0
17,Kerala***,1047,6907000,6834010,71943,1043,6907003,6834017,71943,,,32,0
18,Ladakh,0,29587,29356,231,0,29587,29356,231,,,37,0
19,Lakshadweep,0,11415,11363,52,0,11415,11363,52,,,31,0
20,Madhya Pradesh,3,1056351,1045562,10786,3,1056351,1045562,10786,,,23,0
21,Maharashtra,78,8169851,8021219,148554,84,8169860,8021222,148554,,,27,0
22,Manipur,18,139973,137806,2149,18,139973,137806,2149,,,14,0
23,Meghalaya,2,96954,95324,1628,1,96954,95325,1628,,,17,0
24,Mizoram,7,239545,238805,733,7,239545,238805,733,,,15,0
25,Nagaland,0,36029,35247,782,0,36029,35247,782,,,13,0
26,Odisha,7,1348273,1338998,9215,6,1348273,1338999,9215,,,21,0
27,Puducherry,3,177543,175559,1981,3,177543,175559,1981,,,34,0
28,Punjab**,4,793626,773056,19338,2,793626,773058,19338,,,03,0
29,Rajasthan,1,1326457,1316720,9736,1,1326457,1316720,9736,,,08,0
30,Sikkim,4,44863,44359,500,4,44863,44359,500,,,11,0
31,Tamil Nadu,8,3610601,3572513,38080,9,3610602,3572513,38080,,,33,0
32,Telangana,7,844359,840241,4111,7,844361,840243,4111,,,36,0
33,Tripura,7,108325,107377,941,8,108326,107377,941,,,16,0
34,Uttarakhand,5,452544,444771,7768,4,452545,444773,7768,,,05,0
35,Uttar Pradesh,74,2145405,2121624,23707,74,2145405,2121624,23707,,,09,0
36,West Bengal,99,2125431,2103780,21552,94,2125432,2103786,21552,,,19,0
37,,1475,44995606,44460942,531908,1468,44995632,44460975,531908,,,00,0
